Your major,What is your stress level in these given situations [You have to submit an assignment in less than a day],What is your stress level in these given situations [A week before exams],What is your stress level in these given situations [Asking for an extra ketchup packet at a restaurant],What is your stress level in these given situations [Meeting a new person ],What is your stress level in these given situations [Asking for help],What is your stress level in these given situations [Confronting someone],What is your stress level in these given situations [Doing something without help],Date,Time
3.0,2,1,0,0,0,2,0,2021-11-06,21:55:50.465000
2.0,3,2,3,3,3,3,2,2021-11-06,22:00:18.873000
0.0,2,2,2,2,2,2,2,2021-11-06,22:04:49.692000
1.0,3,1,0,1,1,2,0,2021-11-06,22:05:30.780000
0.0,4,4,2,3,4,4,4,2021-11-06,22:07:40.036000
0.0,0,0,3,3,3,3,1,2021-11-06,22:08:36.580000
0.0,2,2,0,0,2,3,1,2021-11-06,22:11:01.116000
0.0,2,2,1,1,1,1,1,2021-11-06,22:11:34.395000
2.0,2,1,0,1,1,0,0,2021-11-06,22:14:04.268000
0.0,2,2,0,0,0,1,2,2021-11-06,22:14:36.027000
0.0,1,2,0,1,2,2,3,2021-11-06,22:17:27.790000
2.0,2,4,0,1,1,2,1,2021-11-06,22:19:43.023000
0.0,1,0,0,2,1,1,0,2021-11-06,22:25:38.301000
2.0,2,2,2,2,2,2,2,2021-11-06,22:29:05.379000
3.0,0,0,0,0,1,2,0,2021-11-06,22:30:07.989000
4.0,4,4,1,1,2,2,1,2021-11-06,22:37:08.245000
1.0,1,1,0,2,2,2,1,2021-11-06,22:38:01.172000
0.0,2,0,2,1,1,2,0,2021-11-06,22:42:08.213000
2.0,1,1,0,0,0,3,2,2021-11-06,22:42:28.392000
5.0,2,3,0,2,3,3,1,2021-11-06,22:42:36.366000
4.0,0,2,3,1,3,2,0,2021-11-06,22:43:57.345000
4.0,2,2,0,1,2,2,2,2021-11-06,22:44:40.118000
4.0,2,0,0,3,4,4,2,2021-11-06,22:45:19.309000
4.0,3,3,0,0,1,2,0,2021-11-06,22:48:33.591000
3.0,1,2,0,0,0,0,1,2021-11-06,22:59:49.450000
0.0,2,1,0,1,1,1,1,2021-11-06,23:01:51.969000
0.0,2,3,1,2,2,3,2,2021-11-06,23:07:51.253000
7.0,4,4,0,2,2,3,4,2021-11-06,23:13:27.165000
0.0,2,3,3,3,3,3,3,2021-11-06,23:17:59.605000
5.0,2,3,2,3,2,3,2,2021-11-06,23:31:46.898000
3.0,2,3,1,4,3,1,2,2021-11-06,23:36:27.362000
0.0,2,2,3,4,4,4,3,2021-11-06,23:51:50.871000
0.0,1,1,1,1,2,2,0,2021-11-06,23:54:15.991000
4.0,0,0,0,0,1,0,0,2021-11-07,00:11:24.105000
4.0,2,1,3,3,1,1,1,2021-11-07,00:16:43.873000
4.0,4,3,1,3,2,2,2,2021-11-07,00:47:31.954000
0.0,1,2,0,3,3,4,2,2021-11-07,01:40:37.062000
0.0,0,2,0,0,1,0,1,2021-11-07,04:36:38.925000
1.0,2,2,0,3,2,2,1,2021-11-07,06:32:47.630000
6.0,3,4,0,1,1,2,3,2021-11-07,06:39:36.895000
2.0,0,0,0,0,4,0,3,2021-11-07,07:01:27.896000
4.0,2,2,3,4,3,4,4,2021-11-07,07:29:07.986000
8.0,1,2,1,1,1,3,0,2021-11-07,07:33:25.257000
0.0,0,0,0,1,3,3,0,2021-11-07,08:12:54.303000
9.0,0,0,0,1,2,1,0,2021-11-07,08:17:34.780000
3.0,0,1,0,1,2,1,2,2021-11-07,08:20:03.821000
10.0,0,0,0,0,0,0,0,2021-11-07,08:20:09.187000
3.0,2,2,2,2,2,2,2,2021-11-07,08:37:06.181000
3.0,0,0,0,0,1,2,1,2021-11-07,08:41:39.270000
0.0,3,2,1,4,3,3,1,2021-11-07,08:43:21.713000
0.0,2,2,1,0,1,2,2,2021-11-07,08:49:17.450000
0.0,4,2,0,0,0,0,0,2021-11-07,08:50:28.407000
3.0,1,2,0,1,1,3,1,2021-11-07,08:53:22.246000
0.0,2,3,3,4,1,4,2,2021-11-07,08:53:34.382000
0.0,2,0,0,1,0,1,0,2021-11-07,08:53:54.871000
0.0,3,3,3,3,3,3,3,2021-11-07,08:57:36.204000
0.0,2,4,0,1,2,4,2,2021-11-07,09:03:55.662000
2.0,2,2,1,1,1,1,1,2021-11-07,09:05:02.824000
0.0,1,1,2,1,2,0,0,2021-11-07,09:06:56.882000
0.0,3,1,1,0,2,2,4,2021-11-07,09:07:02.389000
0.0,0,0,0,0,1,0,0,2021-11-07,09:07:22.240000
1.0,0,0,3,4,1,4,0,2021-11-07,09:07:24.462000
11.0,3,1,0,2,1,1,1,2021-11-07,09:13:14.733000
5.0,3,2,1,0,2,4,2,2021-11-07,09:18:37.368000
4.0,1,1,0,0,0,0,0,2021-11-07,09:33:28.621000
12.0,0,4,0,1,0,1,0,2021-11-07,09:34:07.218000
0.0,3,3,1,4,2,3,1,2021-11-07,09:34:23.822000
1.0,2,1,0,2,3,0,0,2021-11-07,09:38:14.888000
2.0,1,1,0,0,0,1,1,2021-11-07,09:41:01.391000
2.0,1,1,1,4,3,4,1,2021-11-07,09:42:03.088000
0.0,0,0,0,2,1,2,1,2021-11-07,09:43:12.370000
13.0,1,2,0,3,1,4,4,2021-11-07,10:01:00.174000
0.0,2,2,0,0,0,1,1,2021-11-07,10:03:41.136000
1.0,1,1,1,3,3,3,0,2021-11-07,11:07:50.528000
4.0,2,1,0,2,2,2,0,2021-11-07,11:09:04.519000
0.0,1,2,0,0,1,2,2,2021-11-07,11:11:40.714000
0.0,1,2,0,0,0,1,1,2021-11-07,11:11:43.524000
0.0,2,3,2,3,2,2,3,2021-11-07,11:15:11.448000
4.0,3,4,3,3,3,4,3,2021-11-07,11:18:41.530000
2.0,2,0,0,0,0,1,0,2021-11-07,11:23:15.508000
0.0,1,2,0,0,1,2,0,2021-11-07,11:28:20.413000
0.0,0,2,0,1,4,4,2,2021-11-07,11:31:02.329000
1.0,2,3,0,3,1,3,0,2021-11-07,11:35:15.823000
1.0,1,1,0,0,0,2,1,2021-11-07,11:39:31.339000
1.0,2,2,0,1,2,2,1,2021-11-07,11:40:32.226000
2.0,1,0,0,1,0,1,1,2021-11-07,11:43:10.416000
1.0,2,1,0,2,2,4,1,2021-11-07,11:44:28.095000
1.0,0,0,0,0,1,0,0,2021-11-07,11:48:42.291000
1.0,3,1,0,3,2,3,2,2021-11-07,12:18:03.353000
1.0,2,2,2,3,3,4,1,2021-11-07,12:27:36.614000
1.0,2,0,0,2,1,2,1,2021-11-07,12:57:09.591000
1.0,2,2,2,2,2,2,2,2021-11-07,12:58:31.534000
1.0,3,3,2,2,2,4,4,2021-11-07,12:58:40.765000
1.0,2,3,1,2,2,3,1,2021-11-07,13:13:46.971000
1.0,0,0,0,0,1,1,0,2021-11-07,13:43:04.406000
1.0,0,0,0,0,0,0,0,2021-11-07,13:58:48.452000
5.0,2,3,2,2,2,3,1,2021-11-07,14:03:04.489000
1.0,3,2,3,3,3,2,2,2021-11-07,14:33:24.761000
1.0,2,1,0,1,0,2,0,2021-11-07,15:26:35.632000
